index,columns
0,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:74:83:116:119
1,0:1:2:3:4:5:6:7:9:13:18:23:27:60:63:79:83:116:119
2,0:1:2:3:4:5:6:7:9:13:18:23:60:63:74:79:83:116:119
3,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:44:58:72
4,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:86
5,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:100
6,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:30:58:72:114
7,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:86
8,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:100
9,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:44:58:72:114
10,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:86:100
11,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:86:114
12,0:1:4:5:6:7:8:9:10:11:12:13:14:15:16:58:72:100:114
13,7:8:9:10:11:12:13:14:15:24:35:40:46:64:80:91:96:102:122
14,7:8:9:10:11:12:13:14:15:24:35:40:64:66:80:91:96:102:122
15,7:8:9:10:11:12:13:14:15:24:35:40:64:80:91:96:102:120:122
16,7:8:9:10:11:12:13:14:15:24:40:46:64:66:80:91:96:102:122
17,7:8:9:10:11:12:13:14:15:24:40:46:64:80:91:96:102:120:122
18,7:8:9:10:11:12:13:14:15:24:40:64:66:80:91:96:102:120:122
