subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,generic_kernel_dim,complement_rank,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq
1,0:9:13:15,15,0:9:13:15,4,4,2,4,4,4,4,4,0,8,8,8,4,1296,4:1296,1044576,8.611156424455313,891648,8.51280227028115,4.512802270281149
2,3:10:13:15,3,3:10,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
2,3:10:13:15,5,3:13,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
2,3:10:13:15,6,10:13,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
2,3:10:13:15,9,3:15,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
2,3:10:13:15,10,10:15,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
2,3:10:13:15,12,13:15,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
2,3:10:13:15,7,3:10:13,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
2,3:10:13:15,11,3:10:15,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
2,3:10:13:15,13,3:13:15,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
2,3:10:13:15,14,10:13:15,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
2,3:10:13:15,15,3:10:13:15,4,4,2,4,4,4,4,4,0,8,8,8,4,1296,4:1296,1044576,8.611156424455313,891648,8.51280227028115,4.512802270281149
3,1:6:9:14,3,1:6,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
3,1:6:9:14,5,1:9,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
3,1:6:9:14,6,6:9,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
3,1:6:9:14,9,1:14,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
3,1:6:9:14,10,6:14,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
3,1:6:9:14,12,9:14,4,4,2,2,2,2,2,2,2,8,8,8,6,36,2:36,36,2.226565505118757,36,2.226565505118757,0.22656550511875695
3,1:6:9:14,7,1:6:9,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
3,1:6:9:14,11,1:6:14,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
3,1:6:9:14,13,1:9:14,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
3,1:6:9:14,14,6:9:14,4,4,2,3,3,3,3,3,1,8,8,8,5,216,3:216,6696,5.473504472655458,6048,5.41026332894709,2.4102633289470896
3,1:6:9:14,15,1:6:9:14,4,4,2,4,4,4,4,4,0,8,8,8,4,1296,4:1296,1044576,8.611156424455313,891648,8.51280227028115,4.512802270281149
4,0:1:3:8,7,0:1:3,3,2,2,3,2,1,2,1,1,4,4,4,1,216,1:210;2:6,6,1.1132827525593785,6,1.1132827525593785,-1.8867172474406215
4,0:1:3:8,11,0:1:8,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
4,0:1:3:8,13,0:3:8,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
4,0:1:3:8,14,1:3:8,3,2,2,3,3,3,2,1,1,4,4,4,1,216,1:180;2:36,36,2.226565505118757,36,2.226565505118757,-0.773434494881243
4,0:1:3:8,15,0:1:3:8,3,2,2,4,3,2,3,2,0,4,4,4,0,1296,2:1260;3:36,2376,4.829744360083113,1692,4.618796713272123,0.6187967132721228
