subset_index,columns,support_mask,support_columns,rho,components,tau,root_count,support_rank,support_components,delta,generic_kernel_dim,complement_rank,generic_endpoint_logq,component_endpoint_logq,endpoint_bound_logq,endpoint_root_weight_logq,line_assignments,kernel_profile,contained_root_line_count,contained_root_line_logq,exact_root_line_count,exact_root_line_logq,asymptotic_root_weight_logq,endpoint_excess_logq,projective_line_factor_logq,nonzero_root_normalization_logq,exceptional_kappa3_count,residual_endpoint_excess_logq
0,1:3:7:12:15,23,1:3:7:15,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
0,1:3:7:12:15,27,1:3:12:15,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
0,1:3:7:12:15,29,1:7:12:15,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
0,1:3:7:12:15,30,3:7:12:15,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
1,0:6:12:13:14,7,0:6:12,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,11,0:6:13,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,13,0:12:13,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,14,6:12:13,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,19,0:6:14,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,21,0:12:14,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,22,6:12:14,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,25,0:13:14,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,26,6:13:14,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,28,12:13:14,4,1,2,3,3,3,2,1,2,-inf,3,3,0,32768,1:32736;2:32,32,1.0092454329104992,32,1.0092454329104992,-1.9907545670895008,-1.9907545670895008,0.027736298731497522,0.028645845954374027,NA,-2.0471367117753725
1,0:6:12:13:14,15,0:6:12:13,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
1,0:6:12:13:14,23,0:6:12:14,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
1,0:6:12:13:14,27,0:6:13:14,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
1,0:6:12:13:14,29,0:12:13:14,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
1,0:6:12:13:14,30,6:12:13:14,4,1,2,4,4,4,3,2,1,4,6,6,2,1048576,2:1048544;3:32,1080320,4.045666749533665,1076224,4.044560550003203,0.04456055000320269,-1.9554394499967973,0.036981731641996696,0.0381944612724987,NA,-2.0306156429112927
